TeamId,Gmina,GminaNazwa,Powiat,PowiatNazwa,PollingStationNumber,A,B,C1,C2,Cg,Cp,Cs,Cw,D
1,146504,Bielany,146501,Warszawa,780,0,40,29,17,0,0,0,0,0
2,140611,gm. Warka,140600,grójecki,3,0,41,25,16,0,23,23,0,0
3,146513,Ursynów,146501,Warszawa,606,0,39,29,0,0,0,0,0,0
4,141701,m. Józefów,141700,otwocki,6,0,41,39,16,24,0,0,25,0
5,146510,Sródmiescie,146501,Warszawa,14,0,0,11,0,0,0,0,0,0
6,141607,gm. Ostrów Mazowiecka,141600,ostrowski,3,0,0,27,26,18,18,12,18,2
7,140805,gm. Wieliszew,140800,legionowski,7,0,43,29,0,26,0,0,0,0
9,141003,gm. Olszanka,141000,losicki,1,0,40,28,21,23,0,0,15,0
10,142905,gm. Kosów Lacki,142900,sokolowski,7,0,30,27,23,24,24,24,24,17
11,146505,Mokotów,146501,Warszawa,86,0,0,30,22,3,0,0,26,0
12,143201,gm. Blonie,143200,warszawski zachodni,3,0,0,30,7,23,1,0,0,0
13,146504,Bielany,146501,Warszawa,775,0,39,31,17,24,0,2,26,4
14,140304,gm. Garwolin,140300,garwolinski,3,0,0,30,24,24,0,0,24,0
15,146510,Sródmiescie,146501,Warszawa,30,29,40,3,0,0,0,0,0,0
16,143411,gm. Tluszcz,143400,wolominski,12,0,50,33,22,28,28,28,8,0
17,141505,gm. Kadzidlo,141500,ostrolecki,12,0,31,17,13,19,17,19,18,6
17,146513,Ursynów,146501,Warszawa,596,28,39,5,0,0,0,0,0,0
19,140404,gm. Sanniki,140400,gostyninski,9,0,38,26,21,23,24,23,0,0
20,142807,gm. Sochaczew,142800,sochaczewski,1,0,0,27,0,0,0,0,0,0
21,142203,gm. Czernice Borowe,142200,przasnyski,1,0,35,29,21,14,21,18,23,0
22,141904,gm. Bulkowo,141900,plocki,2,0,27,29,22,24,25,25,23,7
24,146100,m. Ostroleka,146100,m. Ostroleka,23,0,0,27,0,0,0,0,0,0
25,141806,gm. Tarczyn,141800,piaseczynski,6,0,0,27,15,19,20,19,1,0
26,143706,gm. Zuromin,143700,zurominski,10,0,34,28,24,20,25,24,24,20
27,146513,Ursynów,146501,Warszawa,616,24,35,29,5,0,0,0,0,0
29,146507,Praga-Poludnie,146501,Warszawa,422,26,40,29,22,0,0,0,0,0
30,142012,gm. Zaluski,142000,plonski,2,0,0,21,23,25,20,23,24,0
31,142705,gm. Sierpc,142700,sierpecki,6,0,38,27,9,0,20,24,0,0
32,140104,gm. Stara Blotnica,140100,bialobrzeski,3,0,0,29,26,24,24,30,24,19
33,146510,Sródmiescie,146501,Warszawa,17,0,0,29,17,0,0,0,0,0
33,146519,Zoliborz,146501,Warszawa,343,28,38,27,12,0,0,0,0,0
34,146503,Bialoleka,146501,Warszawa,857,0,30,34,17,0,7,18,2,0
35,146508,Praga-Pólnoc,146501,Warszawa,374,0,0,29,23,20,0,0,0,0
36,142106,gm. Raszyn,142100,pruszkowski,13,0,36,28,19,22,24,23,25,0
37,143804,gm. Radziejowice,143800,zyrardowski,3,0,43,29,10,25,26,19,4,2
38,141802,gm. Konstancin-Jeziorna,141800,piaseczynski,3,0,36,28,19,0,0,22,0,0
