TeamId,Gmina,GminaNazwa,Powiat,PowiatNazwa,PollingStationNumber,A.01,A.01.1,A.02,A.03,A.04,A.05,A.06-inne,A.06-naklejka foliowa,A.06-opaska samozaciskowa,A.06-opieczetowany i podpisany pasek papieru,A.07,A.08,A.08.1,A.09,A.10,A.10.1,A.11,A.12,A.13,A.13.1,A.14,A.15,A.16,A.16.1,A.16.2,A.17,A.17.1,A.18,A.19,A.A,A.B,A.C,B.00,B.01,B.02,B.03,B.03.1,B.04,B.04.1,B.04.2,B.05,B.05.1,B.06,B.07,B.08,B.09,B.10,B.11,B.12,B.13,B.13.1,B.14,B.15,B.16,B.16.1-inne,B.16.1-naklejka foliowa,B.16.1-opaska samozaciskowa,B.16.1-opieczetowany i podpisany pasek papieru,B.16.2,B.17,B.18,B.18.1,B.18.2,B.19,B.19.1,B.20,B.20.1,B.21,B.22,B.22.1,B.22.2,B.23,B.23.1,B.24,B.25,B.26,B.A,B.B,B.C,C1.01,C1.01.1,C1.01.2,C1.03,C1.04,C1.04.1,C1.05,C1.06,C1.06.1,C1.07.a,C1.07.b,C1.07.c,C1.07.d,C1.08,C1.08.1,C1.09,C1.10,C1.11,C1.11.1,C1.12,C1.13,C1.14,C1.A,C1.B,C1.C,C2.0,C2.01,C2.01.1,C2.02,C2.03,C2.03+,C2.04,C2.04.1,C2.05,C2.06,C2.06.1,C2.07,C2.08,C2.08.1,C2.09,C2.10,C2.10.1,C2.11,C2.12,C2.13,C2.14,C2.15,C2.16,C2.A,C2.B,C2.C,Cg.00,Cg.01,Cg.02,Cg.02.1,Cg.03,Cg.04,Cg.05,Cg.05.1,Cg.05.2,Cg.05.3,Cg.05.4,Cg.06,Cg.06.1,Cg.07.a,Cg.07.b,Cg.08,Cg.08.1,Cg.09,Cg.09.1,Cg.09.2,Cg.10,Cg.11,Cg.11.1,Cg.11.2,Cg.12,Cg.13,Cg.14,Cg.A,Cg.B,Cg.C,Cp.00,Cp.01,Cp.02,Cp.02.1,Cp.03,Cp.04,Cp.05,Cp.05.1,Cp.05.2,Cp.05.3,Cp.05.4,Cp.06,Cp.06.1,Cp.07.a,Cp.07.b,Cp.08,Cp.08.1,Cp.09,Cp.09.1,Cp.09.2,Cp.10,Cp.11,Cp.11.1,Cp.11.2,Cp.12,Cp.13,Cp.14,Cp.A,Cp.B,Cp.C,Cs.00,Cs.01,Cs.02,Cs.02.1,Cs.03,Cs.04,Cs.05,Cs.05.1,Cs.05.2,Cs.05.3,Cs.05.4,Cs.06,Cs.06.1,Cs.07.a,Cs.07.b,Cs.08,Cs.08.1,Cs.09,Cs.09.1,Cs.09.2,Cs.10,Cs.11,Cs.11.1,Cs.11.2,Cs.12,Cs.13,Cs.14,Cs.A,Cs.B,Cs.C,Cw.00,Cw.01,Cw.02,Cw.02.1,Cw.03,Cw.04,Cw.05,Cw.05.1,Cw.05.2,Cw.05.3,Cw.05.4,Cw.06,Cw.06.1,Cw.07.a,Cw.07.b,Cw.08,Cw.08.1,Cw.09,Cw.09.1,Cw.09.2,Cw.10,Cw.11,Cw.11.1,Cw.11.2,Cw.12,Cw.13,Cw.14,Cw.A,Cw.B,Cw.C,D.0,D.01,D.02,D.02.1,D.02.2,D.02.3,D.03,D.03.1,D.03.2,D.03.3,D.04,D.05,D.05.1,D.06,D.07,D.08,D.09,D.09.1,D.10,D.11,D.A,D.B,D.C,QA.01,QA.02,QA.03,QA.04,QA.05,QB.01,QB.02,QB.03,QB.04,QB.05,QB.06,QC1.01,QC1.02,QC1.03,QC1.04,QC1.08,QC1.09,QC1.10,QC1.11
1,142302,gm. Gielniów,142300,przysuski,3,tak,,tak,,tak,tak,,naklejka foliowa,,,nie,tak,nie,tak,tak,,tak,tak,nie,,nie,tak,nie,,,nie,,nie,7:00,dobra,dobra,dobra,0,tak,tak,nie,tak,nie,,,tak,KWW Bezpartyjni Samorzadowcy,tak,zawsze lub prawie zawsze,czasami,0,tak,nie,tak,czasami,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,,tak,nie,nie,,,tak,"Brak rekacji członków Komisji. Przewodnicząca potwierdziła, że jest zapoznana z procedurą tajności głosowania.",nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,8:30,zla,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,9,7,7,tak,663,9,7,7,tak,14,,,,,,,,
1,142303,gm. Klwów,142300,przysuski,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,tak,tak,nie,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czasami,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,,tak,nie,nie,,,tak,Brak reakcji.,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,15:35,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,9,7,4,nie,51,,,,,,,,
1,142304,gm. Odrzywól,142300,przysuski,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,tak,tak,tak,tak,nie,,,tak,"KW Prawo i Sprawiedliwosc, KW Jaroslawa Gowina",tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czasami,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,,,nie,nie,,,tak,brak,nie,,nigdy lub prawie nigdy,nie,,,,,tak,nie,16:42,,zla,zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,ï,tak,30,,,,,,,,
1,142306,gm. Przysucha,142300,przysuski,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,opieczetowany i podpisany pasek papieru,tak,tak,nie,,,tak,Komisja nie reaguje na głosowanie rodzinne.,nie,"W odniesieniu do notatki, Przewodniczący upomniał i skerował wyborców w odpowiednie miejsce.",nigdy lub prawie nigdy,nie,,,nie,,tak,nie,12:50,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,8,5,7,tak,172,,,,,,,,
1,142306,gm. Przysucha,142300,przysuski,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czasami,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,opieczetowany i podpisany pasek papieru,tak,nie,nie,tak,,tak,brak,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,12:50,zla,dobra,zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2242,9,9,6,tak,151,,,,,,,,
1,142308,gm. Wieniawa,142300,przysuski,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,tak,nie,,nie,,,nie,KW Prawo i Sprawiedliwość,tak,zawsze lub prawie zawsze,czasami,0,tak,tak,tak,czasami,tak,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,,tak,tak,nie,nie,,tak,Prośba Przewodniczącej o zachowanie tajności. Bez efektów.,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,10:50,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
1,146504,Bielany,146501,Warszawa,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tak,nie,tak,tak,nie,,,nie,Obserwator wyborczy,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,nie,,naklejka foliowa,,,tak,nie,nie,nie,,nie,,nie,,nigdy lub prawie nigdy,nie,,,,,tak,nie,21:03,bardzo dobra,dobra,dobra,tak,,,tak,tak,"Osoby nieuprawnione opisane w poprzedniej notaatce. Nie zakłóciły prac, ale zostały wyproszone, albo wyszły zaraz po przekazaniu dokumentów.",tak,tak,tak,tak,tak,tak,tak,tak,Liczba kart otrzymanych do sejmiku województwa jest zbyt duża w porównaniu do pozostałych. OKW-1 zasugerowało pomyłkę przy liczeniu kart.,tak,tak,tak,,tak,00:25,nie,zla,zla,,00:35,tak,0,tak,tak,tak,nie,,tak,nie,,tak,,,tak,tak,,,,tak,,,5,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2899,6,4,6,tak,,2899,6,4,3,5,2,5,tak
2,140603,gm. Chynów,140600,grójecki,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Przewodniczący nie był w stanie dokładnie określić. Ponieważ dopiero o 12 będą liczyć. Póki co około 15-20% osób z uprawnieniami,nie,tak,tak,tak,nie,,,tak,KKW ODMŁADZAMY GMINĘ KKW GMINA CHYNÓW SPRAWNA I PRZYJAZNA,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,Nikt,tak,tak,nie,czasami,nie,nie,zawsze lub prawie zawsze,tak,,,,,nie,tak,nie,,,tak,Brak,nie,,nigdy lub prawie nigdy,nie,,,tak,"Znajomi, sąsiedzi ( w domyśle )",tak,nie,11:12,dobra,zla,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,8,6,8,tak,19,,,,,,,,
2,140605,gm. Grójec,140600,grójecki,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307 do godziny 12,tak,tak,nie,nie,tak,"Oklejony słup, baner prawie ze nad lokalem wyborczym",raczej nie,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,nie,nie,nigdy lub prawie nigdy,nie,,zawsze lub prawie zawsze,tak,,,,,tak,tak,nie,,,tak,Żadna. Klasyczne głosowanie rodzinne przy jednym stanowisku bądź ma scianie,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,tak,14:10,dobra,dobra,zla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268,8,7,6,tak,307 do godziny 12,,,,,,,,
2,140605,gm. Grójec,140600,grójecki,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,tak,tak,nie,nie,nie,,,nie,,tak,,zawsze lub prawie zawsze,Nikt,tak,tak,tak,,,,zawsze lub prawie zawsze,tak,,,,,tak,tak,nie,,,,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,13:40,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,6,4,4,tak,0,,,,,,,,
